                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230814"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                              surface_n14                            total_mass_h1                           total_mass_he4                                 delta_Pg                              num_retries                                num_iters                 current_to_zams_surf_he4                 current_to_zams_surf_c12                 current_to_zams_surf_n14                 current_to_zams_surf_o16 
                                     193                                      898                  2.0066145832598172E+006                  5.0538151232177615E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  7.3309939591774753E-001                  1.8121480241514731E-001                  7.8128448825071084E-008                  9.9999999983431209E-001                  9.9999999948926621E-001                  1.0000000000000000E+000                  7.8128448825071084E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3242565886865032E+000                 -3.4452498194320079E+001                 -3.5287372090231495E+000                  2.3242571979290276E+000                  1.3188174470501692E+000                  2.2790992636010996E+000                 -3.4452498194320079E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5393679060119261E+032                  1.4558634948839536E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1856255598891607E+000                  2.4107449693678080E+000                  3.5677452577007829E-001                  4.3265785670909382E+000                  0.0000000000000000E+000                  1.7006207777150628E+001                  1.4541204769922724E+000                  7.4140493076879705E+000                  6.1192108955839397E-001                  8.5476964121876153E-001                  1.2829921460989588E+000                  7.0954907257289190E-001                  2.7616427901764334E-001                  3.6238090758417967E-005                  5.8873412127679169E-003                  2.4348841795745865E-003                  5.9512385325536741E-003                  7.1827314975264926E-004                  2.8397531473348074E+000                  1.1041294680279330E+000                  6.9330446193676007E+003                                        0                                       10                  9.9659660733872402E-001                  9.9999999999999856E-001                                        1                                        1 
                                     194                                      869                  2.1424447923629968E+006                  5.1329963692653866E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.1020693568084889E-001                  2.0012846424516667E-001                  7.8128448880582235E-008                  9.9999999985579657E-001                  9.9999999956348073E-001                  1.0000000000000000E+000                  7.8128448880582235E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3683340960801949E+000                 -3.4230254581895409E+001                 -3.4215430862031901E+000                  2.3683348006220148E+000                  1.3396797936827640E+000                  2.3256467793060183E+000                 -3.4230254581895409E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7777953912311596E+032                  1.4776206130237695E+033                  2.2059714687847738E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.3932813222338565E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1861561000920942E+000                  2.3936593104312300E+000                  3.4717061589592257E-001                  4.3457863868392499E+000                  0.0000000000000000E+000                  1.7019604650960890E+001                  1.4629065394934961E+000                  7.4186955138825184E+000                  6.1206672056819322E-001                  8.5461391088273464E-001                  1.2833759588430866E+000                  7.0923852335825077E-001                  2.7647428732961621E-001                  2.9884613656835762E-005                  5.8586358323828034E-003                  2.4348841795745865E-003                  5.9512385325536741E-003                  7.1827314975264926E-004                  2.8394289049406969E+000                  1.1044390906342627E+000                  6.9257493150533855E+003                                        0                                        5                  9.9659664305732709E-001                  9.9999999999999856E-001                                        1                                        1 
                                     195                                      876                  2.3054410432868120E+006                  5.2121776153130117E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.6454264126435276E-001                  2.1414411277525214E-001                  7.8128448603026479E-008                  9.9999999986165578E-001                  9.9999999959094932E-001                  1.0000000000000000E+000                  7.8128448603026479E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3804954363607331E+000                 -3.4190646817458841E+001                 -3.4030949048773707E+000                  2.3804961511756595E+000                  1.3425566340270148E+000                  2.3387558473474899E+000                 -3.4190646817458841E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8643055350761026E+032                  1.4834772854140579E+033                  2.2190602659558502E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4013062544713240E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1852548951725472E+000                  2.3836358239296316E+000                  3.4396128248421892E-001                  4.3522050536626571E+000                  0.0000000000000000E+000                  1.7020143657952964E+001                  1.4626744339697113E+000                  7.4195507103829472E+000                  6.1223169980079206E-001                  8.5443740540108770E-001                  1.2838105329777907E+000                  7.0888639141949095E-001                  2.7682778476179759E-001                  2.9711569390766680E-005                  5.8262625767512089E-003                  2.4348841795745865E-003                  5.9512385325536741E-003                  7.1827314975264926E-004                  2.8390293051090469E+000                  1.1048247219744851E+000                  6.9651264930154830E+003                                        0                                        5                  9.9659664781194257E-001                  9.9999999999999856E-001                                        1                                        1 
                                     196                                      872                  2.5010365443953909E+006                  5.2913588613606359E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.8842362641016370E-001                  2.1991716570212366E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959740293E-001                  1.0000000000000000E+000                  7.8128448658537630E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3807318856717132E+000                 -3.4187532704869447E+001                 -3.4027585743399893E+000                  2.3807326006510547E+000                  1.3400728052781057E+000                  2.3392657718351724E+000                 -3.4187532704869447E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8759434153939052E+032                  1.4805717490365221E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1847422292421497E+000                  2.3803603866770691E+000                  3.4334889571873262E-001                  4.3534298271936303E+000                  0.0000000000000000E+000                  1.7019321900202407E+001                  1.4619310459108921E+000                  7.4196041757197859E+000                  6.1243321647348947E-001                  8.5422193686926184E-001                  1.2843414291282447E+000                  7.0845621737864295E-001                  2.7726056352622275E-001                  2.9802578025614454E-005                  5.7872370276970640E-003                  2.4348841795745865E-003                  5.9512385325536741E-003                  7.1827314975264926E-004                  2.8385497517976206E+000                  1.1052908438523357E+000                  6.9790168909257909E+003                                        0                                        5                  9.9659664971746198E-001                  9.9999999999999856E-001                                        1                                        1 
                                     197                                      869                  2.7357511457256847E+006                  5.3705401074082610E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  8.9536711424966553E-001                  2.1991716570212366E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959783115E-001                  1.0000000000000000E+000                  7.8128448658537630E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3804316093420930E+000                 -3.4188360278710753E+001                 -3.4047237682142559E+000                  2.3804323215857290E+000                  1.3374109949479054E+000                  2.3392013819888064E+000                 -3.4188360278710753E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8905476810115864E+032                  1.4801366514937454E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1845142182715946E+000                  2.3797279280186601E+000                  3.4348868833063823E-001                  4.3531502419698187E+000                  0.0000000000000000E+000                  1.7018505675552714E+001                  1.4613337009120204E+000                  7.4195556664080646E+000                  6.1268250572653582E-001                  8.5395559021066236E-001                  1.2849983158238933E+000                  7.0792415311928714E-001                  2.7779673585067499E-001                  3.0031807100522132E-005                  5.7397418226710828E-003                  2.4348841795745865E-003                  5.9512385325536741E-003                  7.1827314975264926E-004                  2.8379748942832146E+000                  1.1058532610863925E+000                  6.9900240258685262E+003                                        0                                        5                  9.9659665077971349E-001                  9.9999999999999856E-001                                        1                                        1 
                                     198                                      871                  3.0174086673220377E+006                  5.4497213534558862E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.0174408966628128E-001                  2.1991716570212361E-001                  7.8128448603026479E-008                  9.9999999986165566E-001                  9.9999999959698926E-001                  1.0000000000000000E+000                  7.8128448603026479E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3804442862908344E+000                 -3.4190858983528344E+001                 -3.4078113053742332E+000                  2.3804449934682230E+000                  1.3354867165697648E+000                  2.3394064854385421E+000                 -3.4190858983528344E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9080064465137264E+032                  1.4802134945577176E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1843194013398683E+000                  2.3796578538582001E+000                  3.4384328511385992E-001                  4.3524410484033753E+000                  0.0000000000000000E+000                  1.7017509036503579E+001                  1.4606330222059325E+000                  7.4194639610479491E+000                  6.1297962673059170E-001                  8.5363843610626911E-001                  1.2857814435709436E+000                  7.0729029145151667E-001                  2.7843624943503298E-001                  3.0356944759212992E-005                  5.6844139103931525E-003                  2.4348841795745865E-003                  5.9512385325536732E-003                  7.1827314975264926E-004                  2.8372853955677098E+000                  1.1065318115307834E+000                  6.9968747613499163E+003                                        0                                        5                  9.9659665146309873E-001                  9.9999999999999856E-001                                        1                  9.9999999999999989E-001 
                                     199                                      867                  3.3553976932376614E+006                  5.5289025995035104E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.0792964294851874E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959565333E-001                  1.0000000000000000E+000                  7.8128448658537630E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3805447050883517E+000                 -3.4195235217392465E+001                 -3.4120916184882466E+000                  2.3805454051682986E+000                  1.3340345822910959E+000                  2.3396604627357909E+000                 -3.4195235217392465E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9236405756530722E+032                  1.4784388302723219E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1840940196166079E+000                  2.3797210804391997E+000                  3.4432566185087937E-001                  4.3514762949293369E+000                  0.0000000000000000E+000                  1.7016287714644648E+001                  1.4597849073702505E+000                  7.4193265710138077E+000                  6.1332188175394675E-001                  8.5327350867918939E-001                  1.2866838115439265E+000                  7.0656070347116207E-001                  2.7917284579511392E-001                  3.0745267185966973E-005                  5.6225996718971558E-003                  2.4348841795745865E-003                  5.9512385325536732E-003                  7.1827314975264926E-004                  2.8364583344430772E+000                  1.1073497604663476E+000                  7.0087682709253677E+003                                        0                                        5                  9.9659665194016755E-001                  9.9999999999999856E-001                                        1                  9.9999999999999989E-001 
                                     200                                      865                  3.7609845243364098E+006                  5.6080838455511355E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1253705387695061E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959382535E-001                  1.0000000000000000E+000                  7.8128448658537630E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3807246615002162E+000                 -3.4201558247787503E+001                 -3.4178144022052059E+000                  2.3807253521293616E+000                  1.3310588010781745E+000                  2.3401506914073402E+000                 -3.4201558247787503E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9392033666594111E+032                  1.4784707558406773E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1838144329247813E+000                  2.3798579724457074E+000                  3.4495328123778723E-001                  4.3502210561555206E+000                  0.0000000000000000E+000                  1.7014775091518093E+001                  1.4587527934488316E+000                  7.4191366383545008E+000                  6.1374267518405823E-001                  8.5282542269997907E-001                  1.2877936446688822E+000                  7.0566470968889217E-001                  2.8007765700346227E-001                  3.1221839232369394E-005                  5.5487053308089238E-003                  2.4348841795745865E-003                  5.9512385325536732E-003                  7.1827314975264882E-004                  2.8354659555995525E+000                  1.1083349980402566E+000                  7.0195925477554329E+003                                        0                                        5                  9.9659665229471706E-001                  9.9999999999999856E-001                  9.9999999999999944E-001                  9.9999999999999989E-001 
                                     201                                      863                  4.2476887216549078E+006                  5.6872650915987606E+000                  4.0000000000000000E+000                  3.3900565901688630E+001                 -9.8999999999999986E+001                  9.1716770402188530E-001                  2.2651389657234761E-001                  7.8128448658537630E-008                  9.9999999986165566E-001                  9.9999999959148855E-001                  1.0000000000000000E+000                  7.8128448658537630E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3809820859769495E+000                 -3.4209911865679572E+001                 -3.4250503988002241E+000                  2.3809827647920381E+000                  1.3279660855114761E+000                  2.3407348042916052E+000                 -3.4209911865679572E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9530663549672125E+032                  1.4778326211651025E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1834796662756304E+000                  2.3801001449047887E+000                  3.4574390076563011E-001                  4.3486398170998353E+000                  0.0000000000000000E+000                  1.7012961219212720E+001                  1.4575327721666380E+000                  7.4188916122689399E+000                  6.1424709291514812E-001                  8.5228913614253199E-001                  1.2891246149351632E+000                  7.0459222391783405E-001                  2.8116068548641920E-001                  3.1784455683780883E-005                  5.4633104920621227E-003                  2.4348841795745865E-003                  5.9512385325536715E-003                  7.1827314975264926E-004                  2.8342751133884150E+000                  1.1095208940841699E+000                  7.0261014314899548E+003                                        0                                        5                  9.9659665256734664E-001                  9.9999999999999856E-001                                        1                  9.9999999999999956E-001 
