                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                         l                         m                       n_g                       n_p                      n_pg
  0.3073880606239352E+000   0.0000000000000000E+000                         1                         1                        80                         0                       -80
  0.3112948492245295E+000   0.0000000000000000E+000                         1                         1                        79                         0                       -79
  0.3153745091972106E+000   0.0000000000000000E+000                         1                         1                        78                         0                       -78
  0.3192092553531964E+000   0.0000000000000000E+000                         1                         1                        77                         0                       -77
  0.3235215861938233E+000   0.0000000000000000E+000                         1                         1                        76                         0                       -76
  0.3277279547263462E+000   0.0000000000000000E+000                         1                         1                        75                         0                       -75
  0.3319257524466616E+000   0.0000000000000000E+000                         1                         1                        74                         0                       -74
  0.3366026174111398E+000   0.0000000000000000E+000                         1                         1                        73                         0                       -73
  0.3411971512977032E+000   0.0000000000000000E+000                         1                         1                        72                         0                       -72
  0.3457321002255298E+000   0.0000000000000000E+000                         1                         1                        71                         0                       -71
  0.3508086104446331E+000   0.0000000000000000E+000                         1                         1                        70                         0                       -70
  0.3558615839296898E+000   0.0000000000000000E+000                         1                         1                        69                         0                       -69
  0.3607611017917499E+000   0.0000000000000000E+000                         1                         1                        68                         0                       -68
  0.3662353024797276E+000   0.0000000000000000E+000                         1                         1                        67                         0                       -67
  0.3719579079209540E+000   0.0000000000000000E+000                         1                         1                        66                         0                       -66
  0.3772067973699661E+000   0.0000000000000000E+000                         1                         1                        65                         0                       -65
  0.3831484865919300E+000   0.0000000000000000E+000                         1                         1                        64                         0                       -64
  0.3892627756326986E+000   0.0000000000000000E+000                         1                         1                        63                         0                       -63
  0.3950505417136704E+000   0.0000000000000000E+000                         1                         1                        62                         0                       -62
  0.4017729090773781E+000   0.0000000000000000E+000                         1                         1                        61                         0                       -61
  0.4085252290482623E+000   0.0000000000000000E+000                         1                         1                        60                         0                       -60
  0.4146337106572332E+000   0.0000000000000000E+000                         1                         1                        59                         0                       -59
  0.4221282834822450E+000   0.0000000000000000E+000                         1                         1                        58                         0                       -58
  0.4294560995935487E+000   0.0000000000000000E+000                         1                         1                        57                         0                       -57
  0.4364364530998066E+000   0.0000000000000000E+000                         1                         1                        56                         0                       -56
  0.4446692967123351E+000   0.0000000000000000E+000                         1                         1                        55                         0                       -55
  0.4528230332642728E+000   0.0000000000000000E+000                         1                         1                        54                         0                       -54
  0.4604071729656580E+000   0.0000000000000000E+000                         1                         1                        53                         0                       -53
  0.4696034723354691E+000   0.0000000000000000E+000                         1                         1                        52                         0                       -52
  0.4788106823467109E+000   0.0000000000000000E+000                         1                         1                        51                         0                       -51
  0.4874114920605273E+000   0.0000000000000000E+000                         1                         1                        50                         0                       -50
  0.4979307851948729E+000   0.0000000000000000E+000                         1                         1                        49                         0                       -49
  0.5080820850564316E+000   0.0000000000000000E+000                         1                         1                        48                         0                       -48
  0.5175751015634235E+000   0.0000000000000000E+000                         1                         1                        47                         0                       -47
  0.5298528763251124E+000   0.0000000000000000E+000                         1                         1                        46                         0                       -46
  0.5415005643303186E+000   0.0000000000000000E+000                         1                         1                        45                         0                       -45
  0.5523524398506920E+000   0.0000000000000000E+000                         1                         1                        44                         0                       -44
  0.5662094616117733E+000   0.0000000000000000E+000                         1                         1                        43                         0                       -43
  0.5794907423141828E+000   0.0000000000000000E+000                         1                         1                        42                         0                       -42
  0.5919563358341476E+000   0.0000000000000000E+000                         1                         1                        41                         0                       -41
  0.6075165454459920E+000   0.0000000000000000E+000                         1                         1                        40                         0                       -40
  0.6232293982428971E+000   0.0000000000000000E+000                         1                         1                        39                         0                       -39
  0.6373361499582281E+000   0.0000000000000000E+000                         1                         1                        38                         0                       -38
  0.6558079239944565E+000   0.0000000000000000E+000                         1                         1                        37                         0                       -37
  0.6732976520968563E+000   0.0000000000000000E+000                         1                         1                        36                         0                       -36
  0.6905213692692515E+000   0.0000000000000000E+000                         1                         1                        35                         0                       -35
  0.7119054160333349E+000   0.0000000000000000E+000                         1                         1                        34                         0                       -34
  0.7333564157270740E+000   0.0000000000000000E+000                         1                         1                        33                         0                       -33
  0.7537683662573006E+000   0.0000000000000000E+000                         1                         1                        32                         0                       -32
  0.7785200017312097E+000   0.0000000000000000E+000                         1                         1                        31                         0                       -31
